date,post_id,periods,SUM
2018/1/1,A,1,0
2018/1/1,A,2,0
2018/1/1,A,3,0
2018/1/1,A,4,0
2018/1/1,A,5,0
2018/1/1,A,6,0
2018/1/1,A,7,0
2018/1/1,A,8,0
2018/1/1,A,9,0
2018/1/1,A,10,0
2018/1/1,A,11,0
2018/1/1,A,12,0
2018/1/1,A,13,0
2018/1/1,A,14,0
2018/1/1,A,15,0
2018/1/1,A,16,0
2018/1/1,A,17,1
2018/1/1,A,18,27
2018/1/1,A,19,274
2018/1/1,A,20,424
2018/1/1,A,21,677
2018/1/1,A,22,709
2018/1/1,A,23,766
2018/1/1,A,24,590
2018/1/1,A,25,484
2018/1/1,A,26,428
2018/1/1,A,27,458
2018/1/1,A,28,570
2018/1/1,A,29,632
2018/1/1,A,30,676
2018/1/1,A,31,657
2018/1/1,A,32,632
2018/1/1,A,33,428
2018/1/1,A,34,287
2018/1/1,A,35,75
2018/1/1,A,36,9
2018/1/1,A,37,0
2018/1/1,A,38,0
2018/1/1,A,39,0
2018/1/1,A,40,0
2018/1/1,A,41,0
2018/1/1,A,42,0
2018/1/1,A,43,0
2018/1/1,A,44,0
2018/1/1,A,45,0
2018/1/1,A,46,0
2018/1/1,A,47,0
2018/1/1,A,48,0
2018/1/2,A,1,0
2018/1/2,A,2,0
2018/1/2,A,3,0
2018/1/2,A,4,0
2018/1/2,A,5,0
2018/1/2,A,6,0
2018/1/2,A,7,0
2018/1/2,A,8,0
2018/1/2,A,9,0
2018/1/2,A,10,0
2018/1/2,A,11,0
2018/1/2,A,12,0
2018/1/2,A,13,0
2018/1/2,A,14,0
2018/1/2,A,15,0
2018/1/2,A,16,0
2018/1/2,A,17,0
2018/1/2,A,18,275
2018/1/2,A,19,1275
2018/1/2,A,20,1840
2018/1/2,A,21,2097
2018/1/2,A,22,2234
2018/1/2,A,23,2119
2018/1/2,A,24,1891
2018/1/2,A,25,1713
2018/1/2,A,26,1549
2018/1/2,A,27,1659
2018/1/2,A,28,1783
2018/1/2,A,29,2149
2018/1/2,A,30,2397
2018/1/2,A,31,2465
