date,post_id,periods,SUM
2018/1/1,B,1,0
2018/1/1,B,2,0
2018/1/1,B,3,0
2018/1/1,B,4,0
2018/1/1,B,5,0
2018/1/1,B,6,0
2018/1/1,B,7,0
2018/1/1,B,8,0
2018/1/1,B,9,0
2018/1/1,B,10,0
2018/1/1,B,11,0
2018/1/1,B,12,0
2018/1/1,B,13,0
2018/1/1,B,14,0
2018/1/1,B,15,0
2018/1/1,B,16,0
2018/1/1,B,17,0
2018/1/1,B,18,0
2018/1/1,B,19,0
2018/1/1,B,20,0
2018/1/1,B,21,0
2018/1/1,B,22,0
2018/1/1,B,23,0
2018/1/1,B,24,0
2018/1/1,B,25,0
2018/1/1,B,26,0
2018/1/1,B,27,0
2018/1/1,B,28,0
2018/1/1,B,29,0
2018/1/1,B,30,0
2018/1/1,B,31,0
2018/1/1,B,32,0
2018/1/1,B,33,0
2018/1/1,B,34,0
2018/1/1,B,35,0
2018/1/1,B,36,0
2018/1/1,B,37,0
2018/1/1,B,38,0
2018/1/1,B,39,0
2018/1/1,B,40,0
2018/1/1,B,41,0
2018/1/1,B,42,0
2018/1/1,B,43,0
2018/1/1,B,44,0
2018/1/1,B,45,0
2018/1/1,B,46,0
2018/1/1,B,47,0
2018/1/1,B,48,0
2018/1/2,B,1,0
2018/1/2,B,2,0
2018/1/2,B,3,0
2018/1/2,B,4,0
2018/1/2,B,5,0
2018/1/2,B,6,0
2018/1/2,B,7,0
2018/1/2,B,8,0
2018/1/2,B,9,0
2018/1/2,B,10,0
2018/1/2,B,11,0
2018/1/2,B,12,0
2018/1/2,B,13,0
2018/1/2,B,14,0
2018/1/2,B,15,0
2018/1/2,B,16,0
2018/1/2,B,17,8
2018/1/2,B,18,88
2018/1/2,B,19,219
2018/1/2,B,20,255
2018/1/2,B,21,308
2018/1/2,B,22,362
2018/1/2,B,23,363
2018/1/2,B,24,388
2018/1/2,B,25,174
2018/1/2,B,26,75
2018/1/2,B,27,80
2018/1/2,B,28,335
2018/1/2,B,29,542
2018/1/2,B,30,683
2018/1/2,B,31,505
2018/1/2,B,32,632
2018/1/2,B,33,561
2018/1/2,B,34,446
2018/1/2,B,35,263
2018/1/2,B,36,145
2018/1/2,B,37,159
2018/1/2,B,38,25
2018/1/2,B,39,10
2018/1/2,B,40,0
2018/1/2,B,41,0
2018/1/2,B,42,0
2018/1/2,B,43,0
2018/1/2,B,44,0
2018/1/2,B,45,0
2018/1/2,B,46,0
2018/1/2,B,47,0
2018/1/2,B,48,0
2018/1/3,B,1,0
2018/1/3,B,2,0
2018/1/3,B,3,0
2018/1/3,B,4,0
2018/1/3,B,5,0
2018/1/3,B,6,0
2018/1/3,B,7,0
2018/1/3,B,8,0
2018/1/3,B,9,0
2018/1/3,B,10,0
2018/1/3,B,11,0
2018/1/3,B,12,0
2018/1/3,B,13,0
2018/1/3,B,14,0
2018/1/3,B,15,2
2018/1/3,B,16,71
2018/1/3,B,17,111
2018/1/3,B,18,25
2018/1/3,B,19,217
2018/1/3,B,20,350
2018/1/3,B,21,292
2018/1/3,B,22,324
2018/1/3,B,23,389
2018/1/3,B,24,277
2018/1/3,B,25,171
2018/1/3,B,26,75
2018/1/3,B,27,73
2018/1/3,B,28,289
2018/1/3,B,29,423
2018/1/3,B,30,420
2018/1/3,B,31,470
2018/1/3,B,32,488
2018/1/3,B,33,486
2018/1/3,B,34,347
2018/1/3,B,35,225
2018/1/3,B,36,119
2018/1/3,B,37,87
2018/1/3,B,38,8
2018/1/3,B,39,2
2018/1/3,B,40,1
2018/1/3,B,41,0
2018/1/3,B,42,1
2018/1/3,B,43,0
2018/1/3,B,44,0
2018/1/3,B,45,0
2018/1/3,B,46,0
2018/1/3,B,47,0
2018/1/3,B,48,0
2018/1/4,B,1,0
2018/1/4,B,2,0
2018/1/4,B,3,0
2018/1/4,B,4,0
2018/1/4,B,5,0
2018/1/4,B,6,0
2018/1/4,B,7,0
2018/1/4,B,8,0
2018/1/4,B,9,0
2018/1/4,B,10,0
2018/1/4,B,11,0
2018/1/4,B,12,0
2018/1/4,B,13,0
2018/1/4,B,14,2
2018/1/4,B,15,0
2018/1/4,B,16,0
2018/1/4,B,17,68
2018/1/4,B,18,83
2018/1/4,B,19,205
2018/1/4,B,20,302
2018/1/4,B,21,325
2018/1/4,B,22,335
2018/1/4,B,23,342
2018/1/4,B,24,369
2018/1/4,B,25,162
2018/1/4,B,26,88
2018/1/4,B,27,122
2018/1/4,B,28,254
2018/1/4,B,29,401
2018/1/4,B,30,598
2018/1/4,B,31,506
2018/1/4,B,32,562
2018/1/4,B,33,458
2018/1/4,B,34,396
2018/1/4,B,35,214
2018/1/4,B,36,127
2018/1/4,B,37,76
2018/1/4,B,38,29
2018/1/4,B,39,2
2018/1/4,B,40,1
2018/1/4,B,41,1
2018/1/4,B,42,0
2018/1/4,B,43,0
2018/1/4,B,44,0
2018/1/4,B,45,0
2018/1/4,B,46,0
2018/1/4,B,47,0
2018/1/4,B,48,0
2018/1/5,B,1,0
2018/1/5,B,2,0
2018/1/5,B,3,0
2018/1/5,B,4,0
2018/1/5,B,5,0
2018/1/5,B,6,0
2018/1/5,B,7,0
2018/1/5,B,8,0
2018/1/5,B,9,0
2018/1/5,B,10,0
2018/1/5,B,11,0
2018/1/5,B,12,0
2018/1/5,B,13,0
2018/1/5,B,14,0
2018/1/5,B,15,0
2018/1/5,B,16,16
2018/1/5,B,17,1
2018/1/5,B,18,60
2018/1/5,B,19,216
2018/1/5,B,20,387
2018/1/5,B,21,327
2018/1/5,B,22,341
2018/1/5,B,23,378
2018/1/5,B,24,285
2018/1/5,B,25,217
2018/1/5,B,26,72
2018/1/5,B,27,59
2018/1/5,B,28,313
2018/1/5,B,29,539
2018/1/5,B,30,539
2018/1/5,B,31,472
2018/1/5,B,32,680
2018/1/5,B,33,461
2018/1/5,B,34,434
2018/1/5,B,35,272
2018/1/5,B,36,130
2018/1/5,B,37,55
2018/1/5,B,38,17
2018/1/5,B,39,6
2018/1/5,B,40,2
2018/1/5,B,41,1
2018/1/5,B,42,1
2018/1/5,B,43,0
2018/1/5,B,44,0
2018/1/5,B,45,0
2018/1/5,B,46,0
2018/1/5,B,47,0
2018/1/5,B,48,0
2018/1/6,B,1,0
2018/1/6,B,2,0
2018/1/6,B,3,0
2018/1/6,B,4,0
2018/1/6,B,5,0
2018/1/6,B,6,0
2018/1/6,B,7,0
2018/1/6,B,8,0
2018/1/6,B,9,0
2018/1/6,B,10,0
2018/1/6,B,11,0
2018/1/6,B,12,0
2018/1/6,B,13,0
2018/1/6,B,14,0
2018/1/6,B,15,0
2018/1/6,B,16,0
2018/1/6,B,17,0
2018/1/6,B,18,0
2018/1/6,B,19,0
2018/1/6,B,20,0
2018/1/6,B,21,0
2018/1/6,B,22,0
2018/1/6,B,23,0
2018/1/6,B,24,0
2018/1/6,B,25,0
2018/1/6,B,26,0
2018/1/6,B,27,0
2018/1/6,B,28,0
2018/1/6,B,29,0
2018/1/6,B,30,0
2018/1/6,B,31,0
2018/1/6,B,32,0
2018/1/6,B,33,0
2018/1/6,B,34,0
2018/1/6,B,35,0
2018/1/6,B,36,0
2018/1/6,B,37,0
2018/1/6,B,38,0
2018/1/6,B,39,0
2018/1/6,B,40,0
2018/1/6,B,41,0
2018/1/6,B,42,0
2018/1/6,B,43,0
2018/1/6,B,44,0
2018/1/6,B,45,0
2018/1/6,B,46,0
2018/1/6,B,47,0
2018/1/6,B,48,0
2018/1/7,B,1,0
